neotoma_names,taxon_name
Alchemilla arvensis,alchemilla_arvensis
Alchemilla cf. A. glabra,alchemilla_cf_a_glabra
Alchemilla group,alchemilla_group
Alchemilla pentaphyllea,alchemilla_pentaphyllea
Alchemilla pentaphyllea-type,alchemilla_pentaphyllea_type
Alchemilla/Aphanes,alchemilla_aphanes
Alchornea,alchornea
Alchornea-type,alchornea_type
Alchornea (type 1),alchornea_type_1
Alchornea (type 2),alchornea_type_2
Alchornea (type 3),alchornea_type_3
Alchornea (type 4),alchornea_type_4
Alchornea (type 6),alchornea_type_6
Alchornea (type A),alchornea_type_a
Alchornea (type B),alchornea_type_b
Alchornea cordifolia,alchornea_cordifolia
Alchornea latifolia,alchornea_latifolia
Alchornea/Conceveibum,alchornea_conceveibum
Alchornea/Didymopanax,alchornea_didymopanax
Alchorneopsis,alchorneopsis
Alchorneopsis floribunda,alchorneopsis_floribunda
Aldina,aldina
Aleurites,aleurites
Alibertia,alibertia
Alibertia-type,alibertia_type
Alibertia/Amaioua,alibertia_amaioua
Alkanna,alkanna
Allenrolfea occidentalis,allenrolfea_occidentalis
Allionia,allionia
Allium,allium
Allium-type,allium_type
Allium cf. A. sibiricum,allium_cf_a_sibiricum
Allium suaveolens,allium_suaveolens
Allium ursinum,allium_ursinum
Allium ursinum-type,allium_ursinum_type
Allium vineale-type,allium_vineale_type
Allocasuarina,allocasuarina
Allocasuarina/Casuarina,allocasuarina_casuarina
Allophylus,allophylus
Allophylus-type,allophylus_type
Allophylus abyssinicus,allophylus_abyssinicus
Allophylus abyssinicus-type,allophylus_abyssinicus_type
Allophylus africanus,allophylus_africanus
Allophylus/Protea,allophylus_protea
Allophylus/Protea/Faurea,allophylus_protea_faurea
Alnus,alnus
Alnus (corroded),alnus_corroded
Alnus (hexaporate),alnus_hexaporate
Alnus (pentaporate),alnus_pentaporate
"Alnus (shrub, pale shallow pores)",alnus_shrub_pale_shallow_pores
Alnus (tetraporate),alnus_tetraporate
"Alnus (tree, robust deep pores)",alnus_tree_robust_deep_pores
Alnus (triporate),alnus_triporate
Alnus acuminata,alnus_acuminata
Alnus cf. A. glutinosa,alnus_cf_a_glutinosa
Alnus cf. A. incana,alnus_cf_a_incana
Alnus cf. A. suaveolens,alnus_cf_a_suaveolens
Alnus cf. A. viridis,alnus_cf_a_viridis
Alnus cf. A. viridis subsp. crispa,alnus_cf_a_viridis_subsp_crispa
Alnus glutinosa,alnus_glutinosa
Alnus glutinosa-type,alnus_glutinosa_type
Alnus glutinosa/A. incana,alnus_glutinosa_a_incana
Alnus hirsuta,alnus_hirsuta
Alnus hirsuta-type,alnus_hirsuta_type
Alnus incana,alnus_incana
Alnus incana-type,alnus_incana_type
Alnus rhombifolia-type,alnus_rhombifolia_type
Alnus rubra,alnus_rubra
Alnus rubra-type,alnus_rubra_type
Alnus serrulata-type,alnus_serrulata_type
Alnus sp.,alnus_sp
Alnus subg. Alnobetula,alnus_subg_alnobetula
Alnus undiff.,alnus_undiff
Alnus viridis,alnus_viridis
Alnus viridis-type,alnus_viridis_type
Alnus viridis subsp. crispa,alnus_viridis_subsp_crispa
Alnus viridis subsp. crispa-type,alnus_viridis_subsp_crispa_type
